month,hsk,name,country,export_kusd,export_tons,import_kusd,import_tons,balance_kusd
2026.01,8542324000,MCO (복합부품),나미비아,0,0.0,0,0.0,0
2026.01,8542321030,Flash (플래시 메모리),남아프리카공화국,42,0.0,0,0.0,42
2026.01,8542321010,DRAM (디램),네덜란드,1008,0.1,9,0.0,999
2026.01,8542321030,Flash (플래시 메모리),네덜란드,0,0.0,2018,0.5,-2018
2026.01,8542321090,Other memory (기타),네덜란드,0,0.0,0,0.0,0
2026.01,8542323000,MCP (복합구조칩),네덜란드,8038,0.3,0,0.0,8038
2026.01,8542324000,MCO (복합부품),네덜란드,1352,0.0,0,0.0,1352
2026.01,8542321010,DRAM (디램),노르웨이,0,0.0,0,0.0,0
2026.01,8542321010,DRAM (디램),대만,89633,11.3,42674,6.1,46959
2026.01,8542321020,SRAM (에스램),대만,1,0.0,806,0.1,-805
2026.01,8542321030,Flash (플래시 메모리),대만,115040,3.2,5717,4.2,109323
2026.01,8542321090,Other memory (기타),대만,213,0.1,37610,1.4,-37397
2026.01,8542322000,Hybrid IC (하이브리드),대만,0,0.0,703,0.0,-703
2026.01,8542323000,MCP (복합구조칩),대만,2263168,12.8,179596,2.5,2083572
2026.01,8542324000,MCO (복합부품),대만,581,0.1,3720,0.0,-3139
2026.01,8542321010,DRAM (디램),덴마크,0,0.0,0,0.0,0
2026.01,8542321030,Flash (플래시 메모리),덴마크,0,0.0,2,0.0,-2
2026.01,8542321090,Other memory (기타),덴마크,0,0.0,2,0.0,-2
2026.01,8542321010,DRAM (디램),독일,3045,0.1,0,0.0,3045
2026.01,8542321090,Other memory (기타),독일,20,0.0,2,0.0,18
2026.01,8542323000,MCP (복합구조칩),독일,15486,0.5,0,0.0,15486
2026.01,8542324000,MCO (복합부품),독일,1954,0.1,1,0.0,1953
2026.01,8542321090,Other memory (기타),루마니아,0,0.0,0,0.0,0
2026.01,8542322000,Hybrid IC (하이브리드),루마니아,0,0.0,0,0.0,0
2026.01,8542323000,MCP (복합구조칩),루마니아,0,0.0,0,0.0,0
2026.01,8542321010,DRAM (디램),말레이시아,38478,0.5,2,0.0,38476
2026.01,8542321020,SRAM (에스램),말레이시아,0,0.0,133,0.1,-133
2026.01,8542321030,Flash (플래시 메모리),말레이시아,3523,0.6,215,0.0,3309
2026.01,8542321090,Other memory (기타),말레이시아,0,0.0,583,0.1,-583
2026.01,8542322000,Hybrid IC (하이브리드),말레이시아,0,0.0,0,0.0,0
2026.01,8542323000,MCP (복합구조칩),말레이시아,17977,0.5,0,0.0,17977
2026.01,8542324000,MCO (복합부품),말레이시아,85,0.0,1,0.0,84
2026.01,8542321010,DRAM (디램),멕시코,1399,0.2,0,0.0,1399
2026.01,8542321020,SRAM (에스램),멕시코,188,0.0,0,0.0,188
2026.01,8542321030,Flash (플래시 메모리),멕시코,83,0.0,2,0.0,81
2026.01,8542321090,Other memory (기타),멕시코,252,0.1,0,0.0,251
2026.01,8542323000,MCP (복합구조칩),멕시코,8207,0.7,0,0.0,8207
2026.01,8542324000,MCO (복합부품),멕시코,1928,0.0,0,0.0,1928
2026.01,8542321010,DRAM (디램),미국,6384,0.4,231,0.0,6152
2026.01,8542321020,SRAM (에스램),미국,0,0.0,2,0.0,-2
2026.01,8542321030,Flash (플래시 메모리),미국,2,0.0,447,0.1,-445
2026.01,8542321090,Other memory (기타),미국,104,0.0,3050,0.4,-2946
2026.01,8542323000,MCP (복합구조칩),미국,80558,1.5,3,0.0,80555
2026.01,8542324000,MCO (복합부품),미국,1234,0.0,18,0.1,1216
2026.01,8542321010,DRAM (디램),베트남,595241,15.6,8304,0.8,586937
2026.01,8542321020,SRAM (에스램),베트남,9,0.0,0,0.0,9
2026.01,8542321030,Flash (플래시 메모리),베트남,52973,3.8,860,0.0,52113
2026.01,8542321090,Other memory (기타),베트남,21030,9.4,185,0.0,20845
2026.01,8542322000,Hybrid IC (하이브리드),베트남,1,0.0,0,0.0,1
2026.01,8542323000,MCP (복합구조칩),베트남,316525,9.7,376,0.0,316149
2026.01,8542324000,MCO (복합부품),베트남,214086,3.9,0,0.0,214085
2026.01,8542321090,Other memory (기타),보스니아-헤르체고비나,7,0.0,0,0.0,7
2026.01,8542321090,Other memory (기타),불가리아,0,0.0,0,0.0,0
2026.01,8542321010,DRAM (디램),브라질,31792,0.7,0,0.0,31792
2026.01,8542321030,Flash (플래시 메모리),브라질,5429,0.2,0,0.0,5429
2026.01,8542321090,Other memory (기타),브라질,77,0.1,0,0.0,77
2026.01,8542323000,MCP (복합구조칩),브라질,13338,0.3,0,0.0,13338
2026.01,8542324000,MCO (복합부품),브라질,13812,0.3,0,0.0,13812
2026.01,8542321030,Flash (플래시 메모리),스웨덴,0,0.0,0,0.0,0
2026.01,8542324000,MCO (복합부품),스위스,0,0.0,0,0.0,0
2026.01,8542321010,DRAM (디램),스페인,126,0.0,0,0.0,126
2026.01,8542321090,Other memory (기타),스페인,0,0.0,0,0.0,0
2026.01,8542323000,MCP (복합구조칩),스페인,188,0.0,0,0.0,188
2026.01,8542323000,MCP (복합구조칩),슬로바키아,827,0.1,0,0.0,827
2026.01,8542321010,DRAM (디램),싱가포르,6308,0.2,1253,0.2,5055
2026.01,8542321020,SRAM (에스램),싱가포르,25,0.0,7,0.0,18
2026.01,8542321030,Flash (플래시 메모리),싱가포르,2886,0.1,37,0.0,2849
2026.01,8542321090,Other memory (기타),싱가포르,0,0.0,3917,0.4,-3917
